id,name,area,genre,rating,googleMapsUrl,comment,isActive,createdAt
"1","Chop Hits Barbecue","other","other",4.7,"https://www.google.com/maps/search/?api=1&query=Chop%20Hits%20Barbecue","Chop Hits Barbecue 4.7(153) アメリカ料理",true,"2026-03-31"
"2","川越","other","sushi",4.3,"https://www.google.com/maps/search/?api=1&query=%E5%B7%9D%E8%B6%8A","川越 4.3(97) ￥1,000～2,000 · うなぎ料理店",true,"2026-03-31"
"3","備長炉端だいやめ 京橋店","kyobashi","izakaya",5,"https://www.google.com/maps/search/?api=1&query=%E5%82%99%E9%95%B7%E7%82%89%E7%AB%AF%E3%81%A0%E3%81%84%E3%82%84%E3%82%81%20%E4%BA%AC%E6%A9%8B%E5%BA%97","備長炉端だいやめ 京橋店 5.0(3) 居酒屋",true,"2026-03-31"
"4","大阪ドカ盛りマンモス弁当 淡路総本店","other","other",3.9,"https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E3%83%89%E3%82%AB%E7%9B%9B%E3%82%8A%E3%83%9E%E3%83%B3%E3%83%A2%E3%82%B9%E5%BC%81%E5%BD%93%20%E6%B7%A1%E8%B7%AF%E7%B7%8F%E6%9C%AC%E5%BA%97","大阪ドカ盛りマンモス弁当 淡路総本店 3.9(300) ￥1,000～2,000 · 弁当製造業者",true,"2026-03-31"
"5","いづう","other","sushi",4.2,"https://www.google.com/maps/search/?api=1&query=%E3%81%84%E3%81%A5%E3%81%86","いづう 4.2(1,246) 高級 · 寿司",true,"2026-03-31"
"6","イタリア食堂 Necco","other","other",4.2,"https://www.google.com/maps/search/?api=1&query=%E3%82%A4%E3%82%BF%E3%83%AA%E3%82%A2%E9%A3%9F%E5%A0%82%20Necco","イタリア食堂 Necco 4.2(101) お手頃 · イタリア料理",true,"2026-03-31"
"7","海坊主","other","sushi",4.4,"https://www.google.com/maps/search/?api=1&query=%E6%B5%B7%E5%9D%8A%E4%B8%BB","海坊主 4.4(268) ￥2,000～3,000 · 海鮮丼専門店",true,"2026-03-31"
"8","洋風惣菜 アバ(コロッケ)","other","other",4.5,"https://www.google.com/maps/search/?api=1&query=%E6%B4%8B%E9%A2%A8%E6%83%A3%E8%8F%9C%20%E3%82%A2%E3%83%90(%E3%82%B3%E3%83%AD%E3%83%83%E3%82%B1)","洋風惣菜 アバ(コロッケ) 4.5(203) ￥1～1,000 · 総菜屋",true,"2026-03-31"
"9","ラーメン ギタギタ","other","ramen",3.8,"https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%20%E3%82%AE%E3%82%BF%E3%82%AE%E3%82%BF","ラーメン ギタギタ 3.8(314) ￥1,000～2,000 · ラーメン",true,"2026-03-31"
"10","ベンジャミーナ","other","other",3.6,"https://www.google.com/maps/search/?api=1&query=%E3%83%99%E3%83%B3%E3%82%B8%E3%83%A3%E3%83%9F%E3%83%BC%E3%83%8A","ベンジャミーナ 3.6(158) ￥1,000～2,000 · カフェ・喫茶",true,"2026-03-31"
"11","高知から来た焼肉屋","other","yakiniku",4.6,"https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E7%9F%A5%E3%81%8B%E3%82%89%E6%9D%A5%E3%81%9F%E7%84%BC%E8%82%89%E5%B1%8B","高知から来た焼肉屋 4.6(126) 焼き肉",true,"2026-03-31"
"12","イノベーティブフレンチ genso","other","other",4.6,"https://www.google.com/maps/search/?api=1&query=%E3%82%A4%E3%83%8E%E3%83%99%E3%83%BC%E3%83%86%E3%82%A3%E3%83%96%E3%83%95%E3%83%AC%E3%83%B3%E3%83%81%20genso","イノベーティブフレンチ genso 4.6(60) ￥10,000 以上 · レストラン",true,"2026-03-31"
"13","豆ふと鮨と和食 ひとひ","other","sushi",4,"https://www.google.com/maps/search/?api=1&query=%E8%B1%86%E3%81%B5%E3%81%A8%E9%AE%A8%E3%81%A8%E5%92%8C%E9%A3%9F%20%E3%81%B2%E3%81%A8%E3%81%B2","豆ふと鮨と和食 ひとひ 4.0(1) 日本料理",true,"2026-03-31"
"14","うどん屋 きすけ","other","other",4.2,"https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%A9%E3%82%93%E5%B1%8B%20%E3%81%8D%E3%81%99%E3%81%91","うどん屋 きすけ 4.2(1,286) ￥1,000～2,000 · うどん",true,"2026-03-31"
"15","うどん 兎麦 umugi","other","other",4.1,"https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%A9%E3%82%93%20%E5%85%8E%E9%BA%A6%20umugi","うどん 兎麦 umugi 4.1(638) ￥1,000～2,000 · うどん",true,"2026-03-31"
"16","折鶴会館","other","other",4.3,"https://www.google.com/maps/search/?api=1&query=%E6%8A%98%E9%B6%B4%E4%BC%9A%E9%A4%A8","折鶴会館 4.3(35) 商業地",true,"2026-03-31"
"17","鮨 暁","other","sushi",4.8,"https://www.google.com/maps/search/?api=1&query=%E9%AE%A8%20%E6%9A%81","鮨 暁 4.8(23) ￥10,000 以上 · 寿司",true,"2026-03-31"
"18","中華菜館 一番","other","ramen",4.1,"https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%E8%8F%9C%E9%A4%A8%20%E4%B8%80%E7%95%AA","中華菜館 一番 4.1(188) ￥1～1,000 · 中華料理",true,"2026-03-31"
"19","特製ラーメン とん吉","other","ramen",4.4,"https://www.google.com/maps/search/?api=1&query=%E7%89%B9%E8%A3%BD%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%20%E3%81%A8%E3%82%93%E5%90%89","特製ラーメン とん吉 4.4(395) ￥1,000～2,000 · ラーメン",true,"2026-03-31"
"20","炭焼きイタリアン Black","other","other",4.7,"https://www.google.com/maps/search/?api=1&query=%E7%82%AD%E7%84%BC%E3%81%8D%E3%82%A4%E3%82%BF%E3%83%AA%E3%82%A2%E3%83%B3%20Black","炭焼きイタリアン Black 4.7(320) イタリア料理",true,"2026-03-31"
"21","ラーメン食堂 神豚 大東店","other","ramen",3.9,"https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%E9%A3%9F%E5%A0%82%20%E7%A5%9E%E8%B1%9A%20%E5%A4%A7%E6%9D%B1%E5%BA%97","ラーメン食堂 神豚 大東店 3.9(846) ￥1,000～2,000 · ラーメン",true,"2026-03-31"
"22","羊の結論","other","izakaya",4.7,"https://www.google.com/maps/search/?api=1&query=%E7%BE%8A%E3%81%AE%E7%B5%90%E8%AB%96","羊の結論 4.7(42) ￥3,000～4,000 · 居酒屋",true,"2026-03-31"
"23","NASQUILLO（ナスキロ）","other","yakiniku",4.3,"https://www.google.com/maps/search/?api=1&query=NASQUILLO%EF%BC%88%E3%83%8A%E3%82%B9%E3%82%AD%E3%83%AD%EF%BC%89","NASQUILLO（ナスキロ） 4.3(53) ￥10,000 以上 · ステーキ",true,"2026-03-31"
"24","STUN.S スタンス","other","other",4.6,"https://www.google.com/maps/search/?api=1&query=STUN.S%20%E3%82%B9%E3%82%BF%E3%83%B3%E3%82%B9","STUN.S スタンス 4.6(17) ￥4,000～5,000 · 日本料理",true,"2026-03-31"
"25","中国小皿料理 彩七 今里店","tsuruhashi","ramen",4.1,"https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E5%B0%8F%E7%9A%BF%E6%96%99%E7%90%86%20%E5%BD%A9%E4%B8%83%20%E4%BB%8A%E9%87%8C%E5%BA%97","中国小皿料理 彩七 今里店 4.1(194) ￥1～1,000 · 中華料理",true,"2026-03-31"
"26","游玄亭 ホテルニューオータニ大阪店","other","yakiniku",4.5,"https://www.google.com/maps/search/?api=1&query=%E6%B8%B8%E7%8E%84%E4%BA%AD%20%E3%83%9B%E3%83%86%E3%83%AB%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%AA%E3%83%BC%E3%82%BF%E3%83%8B%E5%A4%A7%E9%98%AA%E5%BA%97","游玄亭 ホテルニューオータニ大阪店 4.5(569) ￥10,000 以上 · 焼き肉",true,"2026-03-31"
"27","近江屋 本店","other","kushikatsu",4,"https://www.google.com/maps/search/?api=1&query=%E8%BF%91%E6%B1%9F%E5%B1%8B%20%E6%9C%AC%E5%BA%97","近江屋 本店 4.0(654) ￥1,000～2,000 · 串揚げ、串カツ店",true,"2026-03-31"
"28","あぶり餅 本家 根元 かざりや","other","other",4.5,"https://www.google.com/maps/search/?api=1&query=%E3%81%82%E3%81%B6%E3%82%8A%E9%A4%85%20%E6%9C%AC%E5%AE%B6%20%E6%A0%B9%E5%85%83%20%E3%81%8B%E3%81%96%E3%82%8A%E3%82%84","あぶり餅 本家 根元 かざりや 4.5(2,284) お手頃 · 和菓子屋",true,"2026-03-31"
"29","タカムラワイン＆コーヒーロースターズ","other","bar",4.5,"https://www.google.com/maps/search/?api=1&query=%E3%82%BF%E3%82%AB%E3%83%A0%E3%83%A9%E3%83%AF%E3%82%A4%E3%83%B3%EF%BC%86%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA","タカムラワイン＆コーヒーロースターズ 4.5(1,829) お手頃 · カフェ・喫茶",true,"2026-03-31"
"30","らーめん stand R&R2号 西淀川店","other","ramen",3.7,"https://www.google.com/maps/search/?api=1&query=%E3%82%89%E3%83%BC%E3%82%81%E3%82%93%20stand%20R%26R2%E5%8F%B7%20%E8%A5%BF%E6%B7%80%E5%B7%9D%E5%BA%97","らーめん stand R&R2号 西淀川店 3.7(361) ￥1,000～2,000 · ラーメン",true,"2026-03-31"
"31","夢屋台","other","ramen",3.9,"https://www.google.com/maps/search/?api=1&query=%E5%A4%A2%E5%B1%8B%E5%8F%B0","夢屋台 3.9(391) ￥1,000～2,000 · ラーメン",true,"2026-03-31"
"32","GODIVA Bakery ゴディパン 京都四条店","other","other",3.2,"https://www.google.com/maps/search/?api=1&query=GODIVA%20Bakery%20%E3%82%B4%E3%83%87%E3%82%A3%E3%83%91%E3%83%B3%20%E4%BA%AC%E9%83%BD%E5%9B%9B%E6%9D%A1%E5%BA%97","GODIVA Bakery ゴディパン 京都四条店 3.2(61) ￥1,000～2,000 · ベーカリー",true,"2026-03-31"
